mode,origin,destination,origin_display,destination_display,transit_days,currency,final_amount,chargeable_weight_kg,actual_weight_kg,volume_cbm,commodity,quantity,container_size_ft,per_container_amount,recommendation,alternative,notes
sea,Shanghai,Hamburg,Shanghai,Hamburg,28,USD,2850,,,,,1,40,2850,,,
sea,Shanghai,Los Angeles,Shanghai,Los Angeles,14,USD,1850,,,,,1,40,1850,,,
sea,Ningbo,Rotterdam,Ningbo,Rotterdam,32,USD,2950,,,,,1,40,2950,,,
sea,Shenzhen,New York,Shenzhen,New York,35,USD,3200,,,,,1,40,3200,,,
sea,Hong Kong,London,Hong Kong,London,30,USD,2750,,,,,1,40,2750,,,
sea,Singapore,Hamburg,Singapore,Hamburg,25,USD,2650,,,,,1,40,2650,,,
sea,Shanghai,Felixstowe,Shanghai,Felixstowe,29,USD,2800,,,,,1,40,2800,,,
sea,Busan,Los Angeles,Busan,Los Angeles,12,USD,1650,,,,,1,40,1650,,,
sea,Tokyo,Long Beach,Tokyo,Long Beach,11,USD,1750,,,,,1,40,1750,,,
sea,Ho Chi Minh City,Rotterdam,Ho Chi Minh City,Rotterdam,33,USD,3100,,,,,1,40,3100,,,
air,Shanghai,Frankfurt,Shanghai (PVG),Frankfurt (FRA),3,USD,4500,850,750,1.2,Electronics,,,,,,
air,Hong Kong,New York,Hong Kong (HKG),New York (JFK),2,USD,6200,1200,1100,1.5,Pharmaceuticals,,,,,,
air,Singapore,London,Singapore (SIN),London (LHR),4,USD,5100,950,900,1.3,Medical Equipment,,,,,,
air,Tokyo,Los Angeles,Tokyo (NRT),Los Angeles (LAX),1,USD,3800,680,650,1.0,Auto Parts,,,,,,
air,Seoul,Frankfurt,Seoul (ICN),Frankfurt (FRA),3,USD,4200,780,750,1.1,Consumer Electronics,,,,,,
air,Bangkok,Amsterdam,Bangkok (BKK),Amsterdam (AMS),4,USD,4800,890,850,1.2,Textiles,,,,,,
air,Dubai,London,Dubai (DXB),London (LHR),2,USD,3200,580,550,0.9,Fashion,,,,,,
air,Mumbai,Frankfurt,Mumbai (BOM),Frankfurt (FRA),3,USD,3900,720,700,1.0,Machinery Parts,,,,,,
sea,Shanghai,Antwerp,Shanghai,Antwerp,31,USD,2900,,,,,1,40,2900,,,
sea,Ningbo,Hamburg,Ningbo,Hamburg,29,USD,2820,,,,,1,40,2820,,,
